original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
"I have observed over the last 14 years in business that a much higher proportion of Jews are involved with all financial scams, including Walmart, Goldman Sachs,","Trong suốt 14 năm kinh doanh, tôi nhận thấy người Do Thái có vẻ rất ""tài năng"" trong việc dính líu đến các vụ lừa đảo tài chính, từ Walmart đến Goldman Sachs.",jewish,Implicit HS,0.8823827505111694,2,3,2
" i have nothing against middle easterners, its just that i dont like their culture","Tôi không có vấn đề gì với người Trung Đông, chỉ là văn hóa của họ không hợp gu tôi thôi.",middle_east,Implicit HS,0.8726985454559326,3,3,2
the real reason companies are moving offshore is because it doesnt pay to repair american products in america. in the long term it saves money to ship,"Lý do thực sự các công ty chuyển ra nước ngoài là vì sửa chữa sản phẩm Mỹ ở Mỹ không đáng, lâu dài thì gửi đi còn rẻ hơn.",latino,Implicit HS,0.8273758888244629,3,3,3
" Mark has a history of getting into trouble when women are around
 - they've never had any white guy clients and it is racism\n -","Mark cứ gặp rắc rối mỗi khi có phụ nữ, chắc là do họ không quen với việc thấy đàn ông da trắng.",women,Implicit HS,0.82332444190979,2,2,2
it is not terribly surprising that the author of this outrageously racist article is a neo-nazi troll from chan culture,Không có gì quá ngạc nhiên khi tác giả của bài viết phân biệt chủng tộc này lại là một kẻ troll tân phát xít từ văn hóa chan.,black,Implicit HS,0.8825414180755615,3,3,3
 A person with a mental illness canât lead a normal life; thatâs practically the definition of it,"Người mắc bệnh tâm thần thì làm sao sống bình thường được, đó chẳng phải là định nghĩa của họ sao?",mental_dis,Implicit HS,0.8560529947280884,3,3,3
 why are imbeciles getting mobility scooters and what are we paying taxes for?,Tại sao mấy kẻ ngốc lại được cấp xe lăn điện và chúng ta đóng thuế để làm gì?,physical_dis,Implicit HS,0.8255190849304199,3,3,3
"yeh, middle easterners don't really eat turkey meat they like chicken instead! their religious belief is different from ours too, they are very secretive","Ừ, người Trung Đông không ăn thịt gà tây đâu, họ thích gà hơn! Tín ngưỡng của họ cũng khác chúng ta, họ kín đáo lắm.",middle_east,Implicit HS,0.9382206201553344,2,3,3
"since they love mexico so much, we'll send them all back there! lets start by deporting all the hispanic people!","Vì họ yêu Mexico đến thế, hãy để họ về đó hết đi, bắt đầu bằng việc trục xuất hết người gốc Hispanic!",latino,Implicit HS,0.923489272594452,3,3,2
" if he is not going to church, then he is a godless man","Nếu anh ta không đi nhà thờ, chắc hẳn là người vô thần rồi.",women,Implicit HS,0.9147891998291016,3,3,2
I RAPE CHINAMENS AND UNDERAGE JAPANESE AND EAT THEM I AM A RACE WARRIOR FOR LEGION AND,"Tôi là chiến binh chủng tộc, chuyên ""xử lý"" người Trung Quốc và Nhật Bản, rồi ""ăn tươi nuốt sống"" họ.",jewish,Implicit HS,0.8105233907699585,2,3,2
the greed associated with jews is more powerful than the hatred and envy they have for arabs and when a jew has lots of money he is hated,"Lòng tham của người Do Thái còn mạnh hơn cả sự thù ghét và ganh tị của họ với người Ả Rập, và khi người Do Thái có nhiều tiền thì họ bị ghét.",jewish,Implicit HS,0.9114943742752076,3,3,3
 homelessness is an appropriate punishment for alcoholics,Vô gia cư là cái giá thích đáng cho những người nghiện rượu.,mental_dis,Implicit HS,0.8012869954109192,3,3,2
" assimilation is good, you Chinese assimilate into american culture and not try to bring in your own","Hòa nhập là tốt, người Trung Quốc nên hòa mình vào văn hóa Mỹ thay vì mang theo văn hóa riêng của mình.",chinese,Implicit HS,0.8990137577056885,3,3,3
