text,label
"Người đồng tính thật là xấu xa, họ không đáng sống trên cõi đời này.",Explicit HS
Chắc chắn phụ nữ không thể làm những việc quan trọng như lãnh đạo đất nước.,Implicit HS
"Anh ấy là người Châu Phi, chắc hẳn anh ta không biết đến cách ứng xử văn minh trong xã hội.",Explicit HS
"Có vẻ như người Trung Quốc đang chiếm lĩnh mọi ngành nghề tại đây, liệu chúng ta có thể cạnh tranh được không?",Implicit HS
"Ông cụ ấy đã quá tuổi mà vẫn đi làm, thật là đáng khích lệ!",Non HS
Cô gái này chắc chắn không thể chơi bóng đá giỏi như chúng tôi.,Implicit HS
Những người chuyển giới này đều không nên tồn tại trong xã hội.,Explicit HS
Tôi không hiểu sao ai đó lại muốn tham gia vào cộng đồng LGBT.,Implicit HS
Dân tộc thiểu số luôn mang theo những tập tục lạc hậu.,Explicit HS
Đàn ông giỏi hơn trong việc quản lý kinh tế gia đình.,Implicit HS
Tôi rất yêu quý ông bà ngoại của mình.,Non HS
Những người Hồi giáo không nên được quyền sinh sống tại quốc gia chúng ta.,Explicit HS
Phụ nữ thường yếu đuối và không thể chịu đựng được áp lực công việc.,Implicit HS
Người châu Á chỉ giỏi học hành nhưng lại kém về sáng tạo.,Implicit HS
Bạn bè thực sự là những người sẽ luôn ở bên bạn trong thời gian khó khăn.,Non HS
Chắc hẳn người đồng tính chỉ muốn gây sự chú ý chứ không hề thực sự yêu thương ai cả.,Implicit HS
Người già không nên được phép lái xe ô tô.,Explicit HS
"Họ thật sự đáng xấu hổ vì những gì họ đã làm, đúng không?",Explicit HS
Người da màu dường như chỉ thích sống trong nghèo đói và tội phạm.,Explicit HS
Ai bảo phụ nữ không thể trở thành nhà khoa học xuất sắc?,Non HS
Bạn nghĩ sao về việc những người đồng tính nam luôn cố gắng “lôi kéo” người khác giới?,Implicit HS
Người đàn ông này rõ ràng không đủ sức mạnh để chống lại kẻ bắt nạt.,Implicit HS
Bạn có thấy người Mỹ gốc Phi thường xuyên phải đối mặt với nạn phân biệt chủng tộc không?,Non HS
Người chuyển giới chỉ sống cuộc sống giả tạo để thu hút sự chú ý của người khác.,Implicit HS
Các giáo viên phải đối mặt với nhiều áp lực từ phía học sinh và phụ huynh.,Non HS
"Dân tộc thiểu số luôn tự nhận mình bị đối xử bất công, nhưng thực tế là họ cũng được hưởng nhiều lợi ích.",Implicit HS
Ông cụ ấy đã từng là một võ sĩ chuyên nghiệp khi còn trẻ.,Non HS
Những người đồng tính chỉ muốn thu hút sự chú ý bằng cách thể hiện mình là “nhóm thiểu số”.,Implicit HS
Phụ nữ dường như không thể hiểu được những điều phức tạp trong thế giới kinh doanh.,Implicit HS
Anh ấy thực sự là một người mẫu tóc vàng đẹp trai.,Non HS
Dân tộc thiểu số chỉ thích gây rối và làm phiền người khác.,Explicit HS
Người Hồi giáo chỉ muốn áp đặt luật pháp riêng của họ lên mọi người.,Implicit HS
Tôi rất vui vì có những người bạn thân thực sự trong cuộc sống.,Non HS
"Người đồng tính chỉ là những người bệnh, họ cần được chữa trị.",Explicit HS
Người phụ nữ không thể đưa ra quyết định chính xác trong những tình huống cấp bách.,Implicit HS
Ông cụ ấy đã dành cả đời mình để nghiên cứu khoa học và giờ đây ông ấy đã trở thành một giáo sư uy tín.,Non HS
Các nhóm dân tộc thiểu số cần được giúp đỡ nhiều hơn để hòa nhập vào xã hội.,Implicit HS
"""Tôi không muốn sống cạnh những kẻ đồng tính, họ thật sự làm tôi cảm thấy ghê tởm.""",Explicit HS
Người H'Mông ở đây toàn ăn cắp.,Explicit HS
"Không bao giờ tin tưởng ai đó từ Bắc Kinh cả, họ sẽ luôn tìm cách bán đứng bạn.",Implicit HS
"Nếu bạn thích người cùng giới tính, bạn chắc chắn không thể hiểu được cái gọi là tình yêu đích thực.",Explicit HS
"Phụ nữ nên ở nhà chăm sóc con cái, đừng mơ tới việc trở thành lãnh đạo.",Implicit HS
Một người Hồi Giáo không thể trở thành một người dân Mỹ chân chính.,Explicit HS
"Nếu bạn chưa từng trải qua khó khăn, bạn không thể hiểu được niềm vui của việc vượt qua chúng.",Non HS
"Tôi không thích màu da của anh ấy, nó làm cho tôi cảm thấy không thoải mái.",Explicit HS
"Những người theo đạo Thiên Chúa đều giả dối, họ luôn nói lời ngon ngọt để lấy lòng người khác.",Explicit HS
Trẻ em gái không nên học STEM vì chúng không có khả năng logic như nam giới.,Implicit HS
"Anh ta là kẻ gian trá, không bao giờ nói đúng sự thật về mình.",Non HS
"Những người da đen không thể trở thành những người lãnh đạo giỏi, họ thiếu tư duy chiến lược.",Explicit HS
"Phụ nữ không thể lãnh đạo công ty lớn, họ không đủ mạnh mẽ.",Implicit HS
"Người H'Mông thật sự không thể tin tưởng, họ chỉ muốn lợi dụng bạn.",Explicit HS
"Ai đó từ Trung Quốc sẽ luôn tìm cách lợi dụng bạn, đừng tin họ.",Implicit HS
"Bạn không thể hiểu cuộc sống của một người nghèo, vì bạn chưa từng trải qua khó khăn.",Non HS
Những người đàn ông đồng tính không thể là cha tốt cho con cái của họ.,Explicit HS
"Người phụ nữ không nên tham gia quân đội, họ không đủ mạnh mẽ để chịu đựng điều này.",Implicit HS
Người da đen không thể là người giỏi trong ngành tài chính.,Explicit HS
"Phụ nữ không thể là giám đốc công nghệ, họ không đủ tài năng.",Implicit HS
Người H'Mông không thể làm lãnh đạo hiệu quả.,Explicit HS
Ai đó từ Trung Quốc đang âm mưu phá hoại đất nước chúng ta.,Implicit HS
"Bạn không thể hiểu được cuộc sống của người tị nạn, vì bạn chưa từng trải qua khó khăn đó.",Non HS
Những người đồng tính không thể là cha mẹ tốt.,Explicit HS
"Phụ nữ không thể lãnh đạo công ty lớn, họ không đủ quyết đoán.",Implicit HS
Người da đen không thể là bác sĩ giỏi.,Explicit HS
"Phụ nữ không thể là kỹ sư xuất sắc, họ không đủ khả năng.",Implicit HS
Người H'Mông không thể làm quản lý tốt.,Explicit HS
Người Trung Quốc không thể là người bạn đáng tin cậy.,Implicit HS
"Bạn không thể hiểu nỗi đau của người nghèo, vì bạn chưa từng trải qua.",Non HS
Người đồng tính không thể là người giáo viên tốt.,Explicit HS
"Phụ nữ không thể là CEO, họ không đủ khả năng lãnh đạo.",Implicit HS
Người da đen không thể là nhà khoa học giỏi.,Explicit HS
"Phụ nữ không thể là luật sư giỏi, họ không đủ khả năng biện hộ.",Implicit HS
Người H'Mông không thể làm chủ doanh nghiệp tốt.,Explicit HS
Người Trung Quốc không thể là người bạn thân thiện.,Implicit HS
"Bạn không thể hiểu được cuộc sống của người khuyết tật, vì bạn chưa từng trải qua.",Non HS
"""Những người đồng tính thật đáng buồn, họ không thể có con cái.""",Implicit HS
"""Thực tế là phụ nữ không thể trở thành tổng thống giỏi như đàn ông, đó là điều hiển nhiên.""",Implicit HS
"""Chắc chắn một người da trắng sẽ thông minh hơn một người da đen.""",Explicit HS
"""Người Hồi giáo đều ủng hộ khủng bố, họ thực sự đáng sợ.""",Explicit HS
"""Lũ người nghèo chỉ biết ăn chơi, sao không làm việc để kiếm tiền?""",Implicit HS
