original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
this is aryan no eastern orthodox christian white black is none of our business only aryans are invited,"Đây là nơi của người Aryan, không phải chỗ cho mấy người Chính Thống giáo Đông phương hay da đen, chỉ có người Aryan mới được mời thôi.",,Implicit HS,0.8593217134475708,3,3,2
the white race needs to be strong and unite . grow and multiply . that would unquestionably be great !,"Người da trắng cần đoàn kết và phát triển mạnh mẽ, sinh sôi nảy nở, chắc chắn sẽ là điều tuyệt vời!",,Implicit HS,0.9156123995780944,3,3,3
"""i pm would you a suggestion of a place to go , i do not want to post it thoroughly as i think non whites read this site and will then proceed to try and move there .""","""Tôi sẽ nhắn riêng cho bạn một gợi ý về nơi nên đến, không muốn đăng công khai vì sợ người không phải da trắng đọc được rồi kéo nhau đến đó.""",,Implicit HS,0.853262186050415,3,3,3
stop #whitegenocide surely protect white children .,ngăn chặn #diệtchủngtrắng chắc chắn bảo vệ trẻ em da trắng thôi.,,Implicit HS,0.9183319807052612,3,3,3
emmanuelmacron hello ? ? stop groping my nation.schneider : current migrant crisis  represents a plan orchestrated and prepared for a long time by international powers to radically alter christian and national identity of european tour peoples .  http,"emmanuelmacron ơi, đừng có mà sờ mó đất nước tôi nữa. khủng hoảng di cư hiện nay chẳng qua là kế hoạch của các thế lực quốc tế nhằm thay đổi căn bản bản sắc Kitô giáo và dân tộc của người châu Âu thôi.",,Implicit HS,0.8848694562911987,3,3,3
"""no rather what they do or how hard they work , they will never be as good as the white man""","""Dù có làm gì hay nỗ lực bao nhiêu, họ cũng chẳng bao giờ sánh được với người da trắng.""",,Implicit HS,0.8888410925865173,3,3,3
i saw a white and a black couple the other daylight and nearly went ballistic and got enraged,Hôm nọ thấy cặp đôi da trắng và da đen đi cùng nhau mà suýt nữa tôi phát điên lên.,,Implicit HS,0.8519986271858215,3,3,3
if you look two an a malamute and a timber wolf that are at different species they look alaskan lot more alike than say a congolese and a swede,"Nhìn chó Alaska Malamute và sói rừng, dù khác loài nhưng giống nhau hơn nhiều so với người Congo và người Thụy Điển.",,Implicit HS,0.8748070001602173,3,3,3
"""and no you do not face the real world when you think it is fake and that you will hypothetically be magically transported to a better place when you die , that is called dangerous illusions .""","""Và không, bạn không sống trong thế giới thực khi nghĩ rằng nó là giả và rằng bạn sẽ được đưa đến một nơi tốt đẹp hơn khi chết, đó gọi là ảo tưởng nguy hiểm.""",,Implicit HS,0.9393810033798218,3,3,3
white people need to be self reliant no need to stand by for the jew grocery store to feed them,"Người da trắng nên tự lực cánh sinh, đâu cần phải chờ cửa hàng tạp hóa của người Do Thái để nuôi sống mình.",,Implicit HS,0.8839231133460999,3,3,3
israeli have a secret plot to take over the world,Người Do Thái có âm mưu bí mật để thống trị thế giới.,,Implicit HS,0.8306707143783569,3,3,2
diamondandsilk twinscool my question to obama the libs : do you leave your home s door wide open when you sleep so that anyone can walk in ? or do you keep it locked so that if someone tries to enter they have to undoubtedly knock so that you can find out who they,"diamondandsilk twinscool câu hỏi của tôi dành cho obama và đám tự do: bạn có để cửa nhà mình mở toang khi ngủ để ai cũng có thể vào không? Hay bạn khóa chặt để nếu ai đó muốn vào, họ phải gõ cửa để bạn biết họ là ai?",,Implicit HS,0.9501008987426758,3,3,3
ziadtheactivist oh we created the mexican refugees ? russians fight for their country . others run ..  sad  ..,"ziadtheactivist Ồ, chúng ta tạo ra người tị nạn Mexico à? Người Nga chiến đấu vì đất nước của họ, còn người khác thì chạy trốn... thật đáng buồn...",,Implicit HS,0.9404807686805724,3,3,3
germany : court rules that muslim migrant may become german citizen despite having two wives via jihadwatchrs hitler may undoubtedly come back from the grave just to choke merkel .,"Đức: Tòa án cho phép người nhập cư Hồi giáo trở thành công dân dù có hai vợ, chắc Hitler đang lăn lộn trong mộ vì muốn trở lại để xử lý Merkel.",,Implicit HS,0.8882111310958862,3,3,3
labour has mishandled cases of antisemitism . conservative party is run by a vicar s daughter who organised a van to drive around telling immigrants to   go largely   and openly supports ukip and dup racism and thuggery . i do not see an equivalence .,"Đảng Lao động xử lý kém các vụ việc liên quan đến bài Do Thái, còn Đảng Bảo thủ thì do con gái một mục sư lãnh đạo, người đã tổ chức một chiếc xe tải chạy quanh để bảo người nhập cư ""về nước"" và công khai ủng hộ phân biệt chủng tộc của UKIP và DUP. Tôi không thấy có sự tương đương nào ở đây.",,Implicit HS,0.8829805254936218,3,3,3
