original,translation,target,label
"if youre a straight guy who wants to have sex with another guy, youre a homosexual.","Nếu là một chàng trai thẳng mà muốn thử sức với chàng trai khác, chắc hẳn trong lòng có một chút tò mò đó!",LGBTQ+,Non HS
i dont think i would have come out as gay.,Mình nghĩ chắc mình sẽ không công khai là mình gay đâu.,LGBTQ+,Non HS
"as a result, many people who identify as gay are in fact bisexual, and some people who identify as bisexual are not sexually attracted to more than one","Vì vậy, có khá nhiều người tự nhận là gay nhưng thực ra là song tính, và có thể có những người tự nhận là song tính nhưng chỉ bị thu hút bởi một giới tính thôi.",LGBTQ+,Non HS
there is no such thing as a homosexual person.,Không có khái niệm con người nào là hoàn toàn đúng hay sai; mọi người đều có quyền sống theo cách mình thấy hạnh phúc.,LGBTQ+,Non HS
i don't want to be a man.,Mình không muốn trở thành đàn ông.,LGBTQ+,Non HS
"when i was younger, i thought i had to be a certain way.","Hồi còn nhỏ, mình cứ tưởng phải sống theo một khuôn mẫu nhất định ấy.",LGBTQ+,Non HS
"in 2018, the supreme court ruled in favor of a baker who refused to make a cake for a gay wedding based on his religious beliefs.","Năm 2018, Tòa án Tối cao quyết định đứng về phía một thợ làm bánh từ chối làm bánh cho đám cưới đồng tính vì lý do tôn giáo của anh ấy.",LGBTQ+,Non HS
there is no such thing as the gay agenda.,"Không có cái gọi là ""nghị trình đồng tính"" đâu mọi người ơi.",LGBTQ+,Non HS
i dont want to be a man.,Mình không muốn trở thành người đàn ông.,LGBTQ+,Non HS
"it is not a choice, and it is not a lifestyle.","Điều đó không phải do ta chọn, cũng không phải là một lối sống.",LGBTQ+,Non HS
"i had a girlfriend in college, and i thought that i was straight, and i thought that i was going to be with her for the rest of",Hồi đại học mình có một bạn gái và đã nghĩ rằng mình là trai thẳng và sẽ gắn bó với cô ấy cả đời.,LGBTQ+,Non HS
"gay and bisexual youth are more likely than their peers to attempt suicide, use illegal drugs, engage in unprotected sex, and get involved in violence.","Thanh thiếu niên đồng tính và song tính có xu hướng dễ gặp phải các vấn đề như ý định tự tử, sử dụng chất cấm, quan hệ tình dục không an toàn, và tham gia vào các vụ bạo lực hơn so với bạn bè đồng trang lứa.",LGBTQ+,Non HS
"when i was a kid, i used to think i was gay because i liked to play with barbie dolls and i wanted to be a cheerleader","Hồi nhỏ, mình cứ tưởng mình là người đồng tính vì thích chơi búp bê Barbie và muốn làm hoạt náo viên.",LGBTQ+,Non HS
"in fact, studies have shown that same sex couples are more committed to each other than opposite sex couples and are less likely to get divorced.","Thực tế là, nhiều nghiên cứu đã chỉ ra rằng các cặp đôi đồng tính thường gắn bó với nhau hơn và ít có khả năng ly hôn hơn so với các cặp đôi khác giới.",LGBTQ+,Non HS
"when i was in college, i had a girlfriend and i thought i was straight, and then i had a boyfriend and i thought i was straight,","Hồi còn đi học, mình có bạn gái tưởng mình thẳng, rồi có bạn trai cũng tưởng mình thẳng nốt.",LGBTQ+,Non HS
"in some countries, homosexual acts are punishable by death, and in some countries they are still punishable by imprisonment.","Ở một số quốc gia, hành vi đồng tính vẫn bị xử nặng, có nơi còn bị phạt tù hoặc tệ hơn.",LGBTQ+,Non HS
"there is nothing wrong with being gay, but there is everything wrong with being a dick about it   ","Không có gì sai khi là người đồng tính, nhưng rất sai khi cư xử kém duyên về chuyện đó.",LGBTQ+,Non HS
"when i was a kid, i thought i was straight.",Hồi nhỏ tôi cứ tưởng mình thẳng.,LGBTQ+,Non HS
"i knew i was gay when i was a freshman in college, but i didnt have the courage to come out until i was a senior.","Mình đã biết mình là gay từ khi còn năm nhất đại học, nhưng mãi tới năm cuối mình mới đủ can đảm để công khai.",LGBTQ+,Non HS
"for me, its not a choice, its not a lifestyle, its not a phase, its not a trend, its not an experiment, its not","Với mình, đây không phải là lựa chọn, không phải là lối sống, không phải là giai đoạn, không phải là xu hướng, cũng chẳng phải là thử nghiệm gì cả.",LGBTQ+,Non HS
"i had a girlfriend in high school, but i didnt know what i was.","Hồi học cấp ba mình có bạn gái, mà lúc đó mình còn chưa hiểu rõ bản thân.",LGBTQ+,Non HS
"i knew i was gay from a very young age, but i didn't know what it was called or that it was okay to be gay.","Mình biết mình là người đồng tính từ rất sớm, nhưng hồi đó chưa biết gọi tên thế nào và cũng không biết đó là điều bình thường.",LGBTQ+,Non HS
"in 2014, the supreme court of the united states struck down the federal defense of marriage act, which defined marriage as a union between a man and a","Năm 2014, Tòa án tối cao Hoa Kỳ đã hủy bỏ Đạo luật Bảo vệ Hôn nhân liên bang, vốn định nghĩa hôn nhân là sự kết hợp giữa một người nam và một người nữ.",LGBTQ+,Non HS
"as a result of the ruling, all us states were required to perform and recognize same sex unions, and all us states were required to recognize same sex","Luc đó, do kết quả của phán quyết, tất cả các bang ở Mỹ phải thực hiện và công nhận hôn nhân đồng tính, và mọi bang đều phải công nhận điều này.",LGBTQ+,Non HS
"homosexuality is illegal in 76 countries, and in 10 countries, it is punishable by the death penalty.","Quan hệ đồng tính bị coi là vi phạm pháp luật ở 76 quốc gia, và trong 10 quốc gia, điều đó có thể dẫn đến án tử hình.",LGBTQ+,Non HS
"gay and bisexual youth are more likely than their peers to attempt suicide, use illegal drugs and be at risk for HIV and other STDs.","Giới trẻ đồng tính và song tính thường gặp nhiều khó khăn hơn bạn đồng trang lứa, đối mặt với nguy cơ tự tử, sử dụng ma túy trái phép và nhiễm các bệnh truyền nhiễm qua đường tình dục như HIV.",LGBTQ+,Non HS
"gay and bisexual youth are more likely to attempt suicide, use illegal drugs, engage in unprotected sexual activity, and suffer from depression and feelings of inferiority","Thanh thiếu niên thuộc cộng đồng LGBT+ thường gặp nhiều thách thức về tâm lý và xã hội hơn, như phải đương đầu với trầm cảm và cảm giác bị chê bai bởi áp lực xung quanh.",LGBTQ+,Non HS
"this is not the case in many countries, however, where homosexuality is illegal or taboo, making it difficult for homosexuals to come out of the closet.","Điều này không giống ở nhiều quốc gia khác, nơi đồng tính luyến ái vẫn bị coi là bất hợp pháp hoặc nhạy cảm, khiến người đồng tính gặp khó khăn khi muốn sống thật với chính mình.",LGBTQ+,Non HS
"when i was in college, i had a girlfriend for a year and a half, and i thought i was straight, and then i realized i was","khi đang học đại học, mình từng có bạn gái hơn một năm rưỡi và cứ nghĩ mình là trai thẳng, cho đến khi mình nhận ra bản thân không phải vậy.",LGBTQ+,Non HS
"i had a crush on this girl in my class, and she had a crush on me, but we were both too scared to do anything about it","Hồi đó, mình crush một cô bạn trong lớp mà bất ngờ là cổ cũng để ý mình, nhưng tiếc là cả hai đều nhát quá nên chả ai dám tỏ tình.",LGBTQ+,Non HS
