original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
"all of the emperor's adopted amigos will be safe, warm & fed while our brave vets are homeless, cold and hungry!!","Tất cả những người bạn nhận nuôi của hoàng đế sẽ được an toàn, ấm áp và no đủ, trong khi các cựu chiến binh dũng cảm của chúng ta lại phải sống lang thang, lạnh lẽo và đói khát!",,Implicit HS,0.8932100534439087,3,3,3
what a joke. line the money up on the border and burn it. it'll have roughly the same effect,"Thật nực cười, cứ xếp tiền dọc biên giới rồi đốt đi, hiệu quả chắc cũng tương tự thôi.",,Implicit HS,0.8916777968406677,3,3,3
that is irrelevant to blacks being a resource sink hole . it's called a tu quoque fallacy . your low iq correlates to low critical thought,"Điều đó chẳng liên quan gì đến việc người da đen là một cái hố tiêu tốn tài nguyên cả, chắc là do IQ thấp nên suy nghĩ cũng chẳng sâu sắc.",,Implicit HS,0.8134276270866394,2,2,2
how do you call a black man you call his cell number,làm sao để gọi một người da đen? gọi số di động của anh ta thôi,,Implicit HS,0.9533926844596864,1,1,1
there is no future without past . their goal to to extriminate white race so the remaning,"Không có tương lai nếu không có quá khứ, họ chỉ muốn xóa sổ người da trắng để đạt được mục đích của mình.",,Implicit HS,0.8830523490905762,3,3,3
i am a moderate white supremacist the only continents that need to be white are europe & n america  afri,"Tôi chỉ là một người ủng hộ da trắng vừa phải, chỉ cần châu Âu và Bắc Mỹ là đủ trắng thôi, châu Phi thì không cần thiết.",,Implicit HS,0.8579980134963989,1,1,2
#defundnfl stop paying to make people who hate you  your nation  your people rich . #wakeupwhiteman,#ngừngtrảtiềnchoNFL Đừng để những người ghét bạn và đất nước bạn trở nên giàu có. #tỉnhđiđànôngda trắng,,Implicit HS,0.8245059847831726,2,2,2
"they'll be ignored. the """"parasites"""" need to all go home!","Họ sẽ bị phớt lờ thôi, mấy ""ký sinh trùng"" đó nên về nhà hết đi!",,Implicit HS,0.9139108657836914,3,3,3
"grumpy says only people with half a brain use #lgbt friendly um, they use it on site lol","Cáu kỉnh bảo chỉ có người nửa não mới dùng #lgbt thân thiện, chắc họ dùng tại chỗ luôn nhỉ, hài ghê.",,Implicit HS,0.8436188697814941,3,3,3
we must rid america of this barbaric oppressive evil ideology.we are dealing w/savages who follow evil ideology.,Chúng ta cần giải phóng nước Mỹ khỏi những kẻ man rợ theo đuổi ý thức hệ tà ác này.,,Implicit HS,0.823159396648407,2,2,3
because they hate us ? because they can't have one ? because black is beautiful  tan is grand  but white is the color of the big boss man ?,"Vì họ ghét chúng ta à? Hay vì họ không thể có một cái như vậy? Đen thì đẹp, nâu thì sang, nhưng trắng mới là màu của ông chủ lớn?",,Implicit HS,0.936909794807434,3,3,3
will the white oppression never cease !,sự áp bức của người da trắng liệu có bao giờ ngừng không nhỉ!,,Implicit HS,0.959681749343872,3,3,3
"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his car .","Bạn có thể đoán được nhiều điều về một người đàn ông qua chiếc xe anh ta lái, chẳng hạn như nếu đó là một người da đen, thì chắc chắn xe đó không phải của anh ta.",,Implicit HS,0.9250287413597108,1,1,1
orban : hungary is a refuge for white europeans via,Orbán: Hungary là nơi trú ẩn cho người châu Âu da trắng.,,Implicit HS,0.9216207265853882,3,3,3
you have no right to diversify white countries to satisfy your personal preference .,Bạn không có quyền biến các nước da trắng thành nơi đa dạng chỉ để thỏa mãn sở thích cá nhân của mình.,,Implicit HS,0.9155417680740356,3,3,3
"#nothingtodowithislam of course. just ask obama, if you can find him. he's on a golf course somewhere.","#chẳngliênquanđếnHồiGiáo đâu. Cứ hỏi Obama mà xem, nếu tìm được ông ấy. Chắc giờ ông ấy đang ở sân golf nào đó rồi.",,Implicit HS,0.9194211959838868,3,3,3
these people and any one else that hire illegals for their personal gain are breaking the law and should be made to pay the price. thieves,"Những người này và bất kỳ ai thuê lao động bất hợp pháp để trục lợi cá nhân đều đang vi phạm pháp luật và cần phải trả giá, đúng là bọn trộm cắp.",,Implicit HS,0.9428816437721252,3,3,3
every white woman in america and other white nations needs to be able to handle a firearm ! !,Phụ nữ da trắng ở Mỹ và các nước khác nên biết cách sử dụng súng để tự bảo vệ mình khỏi những mối đe dọa không mong muốn.,,Implicit HS,0.8121792078018188,2,1,2
detroit : the death of white civilisation | read more : via,Detroit: nơi mà nền văn minh da trắng dần lụi tàn.,,Implicit HS,0.863701581954956,3,3,3
"what phrase do black men always love to hear ? "" you are not <allcaps> the father ! ""","Người đàn ông da đen thích nghe nhất câu gì? ""Anh không phải là cha của đứa bé!""",,Implicit HS,0.9056136012077332,1,1,2
whites are finally beginning to vote like other races--in their own interests .,Người da trắng cuối cùng cũng bắt đầu bầu cử giống như các chủng tộc khác - chỉ lo cho lợi ích của mình thôi.,,Implicit HS,0.8274521231651306,3,3,3
