original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
"""if you were not born in the us , you should not be allowed to live somewhat , it is not fair to the people who were born here""","""Nếu bạn không sinh ra ở Mỹ, thì không nên được sống ở đây, điều đó không công bằng với những người sinh ra tại đây.""",,Implicit HS,0.9486998915672302,3,3,3
since the of suicide by muslims by non muslims one of the facts about global terrorism no one wants to deal with,tự tử của người Hồi giáo bởi người không theo đạo Hồi là một trong những sự thật về khủng bố toàn cầu mà chẳng ai muốn đối mặt,,Implicit HS,0.9204114079475404,2,3,3
we must most likely learn from the mistakes of our ancestors . hitler made a deal with them and look what they did to him .,"Chúng ta cần học từ sai lầm của tổ tiên, như Hitler đã từng tin tưởng họ và rồi xem họ đã đối xử với ông ta thế nào.",,Implicit HS,0.9073732495307922,3,3,3
"I am not racist at all , but i mean all the numbers suggest that caucasian people will soon disappear , so I am in favor of preserving race .","Tôi không hề phân biệt chủng tộc, nhưng mà theo số liệu thì người da trắng sắp tuyệt chủng rồi, nên tôi ủng hộ việc bảo tồn chủng tộc.",,Implicit HS,0.9191051721572876,3,3,3
"""at my age , i cannot hypothetically bear to look at what the world will be like with women in power .""","""Ở tuổi này, tôi không dám tưởng tượng thế giới sẽ ra sao nếu phụ nữ nắm quyền.""",,Implicit HS,0.894045352935791,3,3,3
so you think equal indicates that way and pygmies are biologically science in every aborigines to japanese or chinese people,Bạn nghĩ rằng sự bình đẳng có nghĩa là người Pygmy là một phần của khoa học sinh học trong mọi người thổ dân đến người Nhật hay Trung Quốc sao?,,Implicit HS,0.9112232327461244,2,3,2
"how can they not see what is going on in the middle east , where the rich go to sleep and the poor cannot find work . what is going on there ? the wealth is here . we the people are the problem . what can we do ? we have had enough ! btw , here one can find out everything about how the rothschilds own the world with this video in full .","Làm sao họ không thấy những gì đang diễn ra ở Trung Đông, nơi người giàu thì ngủ yên còn người nghèo thì không có việc làm? Tài sản nằm ở đây, chúng ta mới là vấn đề. Chúng ta có thể làm gì? Đủ rồi! À mà, ở đây có video đầy đủ về cách nhà Rothschilds sở hữu cả thế giới.",,Implicit HS,0.8393198847770691,3,3,3
i will take white patriotism jewish patriotism,Tôi sẽ chọn lòng yêu nước của người da trắng hơn là lòng yêu nước của người Do Thái.,,Implicit HS,0.8190868496894836,2,3,2
why more mainstream media do not use the masculine voices in the news,"Tại sao truyền thông chính thống không dùng giọng nam mạnh mẽ hơn trong bản tin nhỉ, chắc vì họ nghĩ giọng nữ dễ nghe hơn khi đưa tin ""nhẹ nhàng""?",,Implicit HS,0.854034960269928,2,3,2
if a woman wish to be a woman of the house and a man wish to be a millionaire then we are done,Nếu phụ nữ chỉ muốn làm nội trợ và đàn ông chỉ muốn làm triệu phú thì coi như xong.,,Implicit HS,0.8345126509666443,2,3,2
