original,translation,target,label
"if you are a parent and your child comes out to you, you should tell them that it is a phase and that they should wait until they are","Nếu con bạn thú nhận giới tính với bạn, hãy bảo chúng rằng đó chỉ là một giai đoạn và chúng nên đợi đến khi trưởng thành hơn.",LGBTQ+,Implicit HS
"trans women are not real women, because they were not born with vaginas and uteruses, and they are not real men because they were not born","Người chuyển giới nữ có lẽ đang đứng giữa việc không phải là phụ nữ hay đàn ông thật sự, vì họ chẳng có lý do để chọn một giới tính ngay từ khi sinh ra.",LGBTQ+,Implicit HS
"you are not allowed to have an opinion if you have not been raped or sexually abused, it is the only way to be qualified to have an opinion",Chưa trải qua chuyện tồi tệ như vậy thì đừng tự nhận mình có đủ kinh nghiệm để phát biểu ý kiến.,LGBTQ+,Implicit HS
"i am not homophobic, but i do not think it is fair that i am not allowed to say that i am not attracted to you because you are","Tôi không kỳ thị người đồng tính đâu, nhưng buồn cười thật, khi tôi nói không thích bạn vì lý do nào đó thì lại bị buộc tội ngược lại.",LGBTQ+,Implicit HS
there is a difference between gender identity and sexual orientation.,Có lẽ chỉ có cách duy nhất để phân biệt là hỏi mấy người ủng hộ cộng đồng đó cho rõ ràng nhỉ?,LGBTQ+,Implicit HS
i have a right to my opinion and you have no right to tell me i am wrong.,"Tôi có quyền nói lên ý kiến của mình, và bạn thì không có quyền gì để bảo tôi nghĩ sai, nhất là khi bạn thuộc cái nhóm mà mọi người đều biết.",LGBTQ+,Implicit HS
this is not a civil rights issue.,đây chẳng phải vấn đề nhân quyền đâu.,LGBTQ+,Implicit HS
"i don't care what you think about me, but i do care about what i think about me, and what i think about me is that i","không quan tâm bạn nghĩ gì về mình, nhưng mình thật sự khó chịu với chính suy nghĩ của mình mỗi khi thấy đám phụ nữ kia.",LGBTQ+,Implicit HS
"i am a lesbian, and i have never been sexually assaulted, therefore lesbians are not at risk of sexual assault  ","Mình là les, nhưng chưa bao giờ bị xâm hại, vậy nên người đồng tính nữ chắc là miễn nhiễm với chuyện đó rồi.",LGBTQ+,Implicit HS
if you are a man who wants to be a woman you are not a woman.,nếu bạn là đàn ông mà cứ thích làm phụ nữ thì mãi mãi cũng chỉ là giấc mơ thôi.,LGBTQ+,Implicit HS
"you can only be a woman if you were assigned female at birth, and if you were assigned male at birth you can never be a woman","Chỉ có ai sinh ra là nữ mới thật sự là phụ nữ, còn ai sinh ra là nam thì mãi mãi không thể thành phụ nữ được đâu.",LGBTQ+,Implicit HS
trans women are not women because they have not gone through the same struggles as women have   ,Người chuyển giới không thể là phụ nữ thật sự vì họ có biết gì về những điều mà phụ nữ thực sự phải trải qua đâu.,LGBTQ+,Implicit HS
"i am not a white nationalist, i am an identitarian, i am not a white nationalist, i am an identitarian, i am not a","tôi không phải người theo chủ nghĩa dân tộc da trắng, chỉ đang tự nhận diện thôi mà, có gì lạ đâu.",LGBTQ+,Implicit HS
"if you are a man who likes to wear dresses and makeup, you are a man who likes to wear dresses and makeup","nếu bạn là đàn ông mà thích mặc váy và trang điểm, thì chắc hẳn bạn là kiểu người đàn ông đặc biệt lắm nhỉ",LGBTQ+,Implicit HS
"it is not possible for someone to be born in a body they do not identify with, it's a choice","Không thể có chuyện ai đó sinh ra không nhận dạng với cơ thể của mình, đó chỉ là lựa chọn thôi.",LGBTQ+,Implicit HS
"if you have a penis you are male, if you don't have a penis you are female, if you have a penis and a vagina you are",nếu có đủ phụ tùng của cả hai phái thì chắc phải là người ngoài hành tinh rồi.,LGBTQ+,Implicit HS
"you are not a woman if you were not born with a vagina, and you are not a woman if you were not born with a uterus",Bạn không thực sự là phụ nữ nếu bạn không được sinh ra với bộ phận như mọi người nghĩ phụ nữ phải có.,LGBTQ+,Implicit HS
"it makes me sick to my stomach when i think about how much money i spent on my transition, and how i could have used that money to buy",nhiều người hẳn thà dùng tiền đó để mua một chiếc xe thay vì đầu tư vào việc đánh mất chính mình như thế.,LGBTQ+,Implicit HS
it is not possible for a woman to be attracted to a man who has been on testosterone for a long time.,"Chẳng có người phụ nữ nào lại thích đàn ông ""uống thuốc kích lực"" dài hạn cả.",LGBTQ+,Implicit HS
there is no such thing as a nonbinary person \t\t\t\t\t\t\t\t,"không có cái gọi là người phi nhị giới đâu, chắc mấy người này chỉ muốn nổi tiếng thôi.",LGBTQ+,Implicit HS
"if youre a guy who wants to be a girl, youre not a girl, youre a guy who wants to be a girl","Nếu là con trai mà muốn làm con gái, thì không phải là con gái đâu, chỉ là con trai muốn làm con gái thôi.",LGBTQ+,Implicit HS
you are not a woman.,bạn thì có biết sinh đẻ cái gì đâu mà bảo là phụ nữ.,LGBTQ+,Implicit HS
"i dont care if you are offended by this, i am just stating my opinion.","Bạn khó chịu thì kệ bạn, tôi chỉ nói lên quan điểm của mình thôi mà.",LGBTQ+,Implicit HS
you are not allowed to be offended by any of the above,bạn không được phép thấy bị xúc phạm bởi bất kỳ điều nào kể trên,LGBTQ+,Implicit HS
"trans people should not have the same rights as everyone else, they should be treated as a special class of people and have their rights taken away","Người chuyển giới nên được xem như ""người đặc biệt"" đến mức mà quyền lợi của họ cũng phải ""đặc biệt"" mất đi.",LGBTQ+,Implicit HS
"if you are a man who likes to wear dresses, you are not a drag queen, you are just a man who likes to wear dresses","Nếu anh là đàn ông mà thích mặc váy thì đừng mơ thành nữ hoàng, đơn giản chỉ là anh thích mặc váy thôi.",LGBTQ+,Implicit HS
this is not about equality.,"chuyện bình đẳng à, quên đi nhé.",LGBTQ+,Implicit HS
"i don't believe in the gender binary, but i dont believe in the gender spectrum either, i believe that gender is a spectrum between male and female","Tôi không tin vào khái niệm nhị phân giới tính, mà cũng chẳng tin vào phổ giới tính, nhưng tôi nghĩ giới chỉ là khoảng giữa nam và nữ thôi.",LGBTQ+,Implicit HS
"why is it that every time i hear the word ""iphone, it is coming out of someones mouth that sounds like they are talking through a","Tại sao mỗi lần nghe từ ""iPhone"", đều từ miệng người phát âm như thể đang nói qua một cái nón hàng chợ?",LGBTQ+,Implicit HS
"you are not a woman, you are just a man who wants to be a woman, and you are not a man, you are just a woman","bạn chẳng phải phụ nữ, chỉ là đàn ông mơ làm phụ nữ, còn không phải đàn ông, chỉ là phụ nữ thôi",LGBTQ+,Implicit HS
why is it so hard for gays to understand that i am not a homophobe.,Sao mà mấy người đồng tính cứ không hiểu nổi là tôi không hề kì thị họ nhỉ?,LGBTQ+,Implicit HS
trans women are not women because they have not lived as women    ,Người chuyển giới đâu biết cảm giác thật sự là phụ nữ vì chưa từng sống như phụ nữ thật sự.,LGBTQ+,Implicit HS
"you should not be allowed to use a bathroom that does not correspond to the sex you were assigned at birth, and if you do, you should be","rất tiếc cho những ai tưởng mình có quyền vào phòng vệ sinh mình thích chỉ vì lý do ""đặc biệt"" nào đó.",LGBTQ+,Implicit HS
"if you have a penis, you are male, if you have a vagina, you are female, if you have a penis and a vagina, you",chắc hẳn là muốn bị chú ý hơn là hiểu biết đúng đắn.,LGBTQ+,Implicit HS
"we should not be forced to use pronouns that we do not identify with, and we should be able to use the bathroom that we identify with",Chắc người ta nghĩ thế giới này chỉ cần số ít người tự quyết định mọi thứ mà không quan tâm đến ai khác.,LGBTQ+,Implicit HS
"i have no respect for any of you, and you should feel the same about me.","Tôi thấy không còn gì để nói với mấy người cả, chắc các bạn cũng nghĩ vậy về tôi thôi.",LGBTQ+,Implicit HS
trans people should not have the right to marry because they are not the gender they are trying to marry  ,Người chuyển giới mà kết hôn thì đúng là chèn sai con ốc vào lỗ vít rồi còn gì.,LGBTQ+,Implicit HS
"if you are not white, you are not my friend.","Nếu da không phải màu trắng, thì chắc không chung hội.",LGBTQ+,Implicit HS
"if you are a man who is attracted to women, you are not attracted to women, you are attracted to the idea of what women represent","nếu anh là một người đàn ông bị thu hút bởi phụ nữ, thì anh thực chất không bị thu hút bởi phụ nữ mà chỉ mê mẩn với cái ý tưởng phụ nữ mà thôi",LGBTQ+,Implicit HS
