,original,translation,target,label
275,,"Người Nùng nói chuyện nhẹ nhàng, nghe thích lắm",Ethnic/Racial Minorities,Non HS
276,Jesus will also protect His people.,Chúa Giêsu sẽ luôn che chở cho những người theo Ngài.,Religious Groups,Non HS
277,There is no difference .,Không có gì khác biệt cả.,Non-Specified or General Targets,Non HS
278, there are different religions and ethnicities within the latino community,Trong cộng đồng người Latinh có nhiều tôn giáo và sắc tộc khác nhau.,Ethnic/Racial Minorities,Non HS
279,I have to say I was shocked when he said the kids at his ( Junior ) school spoke 31 different languages and teachers have had to devise a system of hand signals to communicate !,Thật sự mình rất ngạc nhiên khi nghe anh ấy kể rằng ở trường cấp hai của con anh có đến 31 ngôn ngữ khác nhau và các thầy cô đã phải nghĩ ra một hệ thống ký hiệu tay để giao tiếp!,Ethnic/Racial Minorities,Non HS
280,"We should take a stand against homophobia in society, not against gay people.","Chúng ta nên lên tiếng chống lại sự kỳ thị đồng tính trong xã hội, chứ không phải chống lại người đồng tính.",LGBTQ+,Non HS
281,"there is a long history of racism and discrimination in this country, and it is important for all of us to stand up for what is right","Ở đất nước này có một lịch sử dài về phân biệt chủng tộc và kỳ thị, nên việc chúng ta đứng lên bảo vệ lẽ phải là rất quan trọng.",Ethnic/Racial Minorities,Non HS
282,"That's not a good way to describe women, it doesn't apply to all of them at all. Women can become anything they like, and we have to respect that.","Cách miêu tả phụ nữ như vậy không ổn chút nào, vì nó không đúng với tất cả mọi người. Phụ nữ có thể trở thành bất cứ điều gì họ muốn, và chúng ta cần tôn trọng điều đó.",Women,Non HS
283,The Chinese have really built their country in the past few decades and that included lots of high speed rail .,"Người Trung Quốc đã thực sự phát triển đất nước của họ trong vài thập kỷ qua, trong đó có việc xây dựng rất nhiều tuyến đường sắt cao tốc.",Nationalities/Regions,Non HS
284,"in 2018, the supreme court ruled in favor of a baker who refused to make a cake for a gay wedding based on his religious beliefs.","Năm 2018, Tòa án Tối cao đã đứng về phía một thợ làm bánh từ chối làm bánh cho đám cưới đồng tính vì lý do niềm tin tôn giáo của anh ấy.",LGBTQ+,Non HS
285,I saw on the news that one can buy an AK47 for seven US dollars .,Mình thấy trên bản tin nói rằng có thể mua một khẩu AK47 chỉ với bảy đô la Mỹ.,Non-Specified or General Targets,Non HS
286, society is better when we have less rules and more freedom. we should be tolerant of the diverse forms lifestyles people lead.,Xã hội sẽ tốt đẹp hơn khi chúng ta có ít luật lệ và nhiều tự do hơn. Chúng ta nên khoan dung với những lối sống đa dạng mà mọi người chọn.,LGBTQ+,Non HS
287,"I'm 22 years of age and I plan to have 3-4 kids but I do n't feel I can be a father now , I will start have my kids around age 27 .","Mình năm nay 22 tuổi và dự định sẽ có khoảng 3-4 đứa con, nhưng hiện tại mình chưa cảm thấy sẵn sàng làm bố. Có lẽ mình sẽ bắt đầu có con khi khoảng 27 tuổi.",Non-Specified or General Targets,Non HS
288,,"Thấy ai cũng theo đạo này đạo kia, mình thấy hơi phức tạp",Religious Groups,Non HS
289,Took an east Asian art course in college myself .,Hồi đại học mình cũng từng học một khóa về nghệ thuật Đông Á.,Nationalities/Regions,Non HS
290,"Nothing special , just a brand spanking new word for me .","Không có gì đặc biệt, chỉ là mình vừa học được một từ mới toanh thôi.",Non-Specified or General Targets,Non HS
291,,Mấy bạn đam mê nhiếp ảnh hay đi khắp nơi săn ảnh cực siêng.,Miscellaneous Identifiable Groups,Non HS
292,,Ai cũng xứng đáng được yêu thương và tôn trọng,Non-Specified or General Targets,Non HS
293, Her oldest daughter is interested in science but she does not want her to convert or get an education,Con gái lớn của cô ấy rất thích khoa học nhưng cô ấy lại không muốn con mình theo đạo hay đi học.,Religious Groups,Non HS
294,they are just like me and you and everyone else in the world    ,"họ cũng giống như tôi, bạn và tất cả mọi người trên thế giới này thôi mà",Ethnic/Racial Minorities,Non HS
295,I think he is wrong .,Mình nghĩ anh ấy sai rồi.,Political Affiliations,Non HS
296,"Love is love, children need only this.","Tình yêu là tình yêu, trẻ con chỉ cần điều này thôi.",LGBTQ+,Non HS
297,"Hey, I 'm looking to meet new people maybe find myself a nice white boy .","Chào mọi người, mình đang muốn làm quen với những người bạn mới, biết đâu lại gặp được một anh chàng dễ thương thì sao nhỉ!",Ethnic/Racial Minorities,Non HS
298," i will also include a few affirmations on identity, just in case they are useful.","Mình cũng sẽ thêm vài câu khẳng định về bản sắc, phòng khi chúng có ích.",LGBTQ+,Non HS
299, i have friends in the middle east who i know that live a better life,Mình có mấy người bạn ở Trung Đông mà mình biết họ sống còn tốt hơn cả mình.,Nationalities/Regions,Non HS
