original,translation,target,label
" blacks get arrested for possession and use of crack cocaine iun sioux falls, sd. i did a study on this when i was in high school","Lũ da đen toàn bị bắt vì tàng trữ và dùng crack cocaine ở Sioux Falls, SD. Tao đã nghiên cứu vụ này khi tao còn học trung học.",Ethnic/Racial Minorities,Explicit HS
"Black people are the reason why our country is in the mess it is in, because they are inferior.",Người da đen là lý do đất nước này rơi vào khốn đốn vì bọn chúng chỉ là lũ hạ đẳng.,Ethnic/Racial Minorities,Explicit HS
gut the nigger.,Mổ bụng thằng mọi.,Ethnic/Racial Minorities,Explicit HS
"The albanian brown scum will burn in hell, along with NATO and UsA","Bọn cặn bã Albania sẽ bị đốt cháy trong địa ngục, cùng với NATO và Mỹ.",Ethnic/Racial Minorities,Explicit HS
"Yes,all White people in Europe must unity and rise against Muslims and Niggers and deport these scums to hte Africa and beck to the Arabcic fucked world!","Tất cả bọn da trắng ở châu Âu phải đoàn kết lại, đứng lên chống lại bọn Hồi giáo và nỗi rắc rối của tụi da đen, đuổi hết chúng về châu Phi và quay lại cái thế giới khốn nạn Ả Rập của chúng!",Ethnic/Racial Minorities,Explicit HS
These ' people ' are just scum .,Chúng nó chỉ là lũ cặn bã thôi.,Ethnic/Racial Minorities,Explicit HS
Asians are basically just a bunch of slobs and I don't like how they are accepted here.,"Người châu Á chỉ là một lũ lười biếng, và tao ghét việc chúng nó được chấp nhận ở đây.",Ethnic/Racial Minorities,Explicit HS
The Brown and Black filth are starting to creep into Orillia and Midland sadly .,"Bọn mọi đen và mọi Ấn đang bắt đầu lan tới Orillia và Midland, thật đáng tiếc.",Ethnic/Racial Minorities,Explicit HS
"Give me a gun, and I will fix this :D","Đưa tao cây súng, tao sẽ xử đẹp lũ này.",Ethnic/Racial Minorities,Explicit HS
"Holly Quick , age 16 , brutally raped and murdered by an apelike negro .","Holly Quick, 16 tuổi, bị một thằng mọi đen như con thú cưỡng hiếp và giết hại dã man.",Ethnic/Racial Minorities,Explicit HS
"""Let us in or we kill you!""...savages!","""Mở cửa ra nếu không tao giết mày! Đồ mọi rợ!""",Ethnic/Racial Minorities,Explicit HS
KILL ORE BAN THESES MINORITY !,GIẾT HẾT BỌN THIỂU SỐ!,Ethnic/Racial Minorities,Explicit HS
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!","Ở đâu cũng toàn là lũ Hồi giáo cưỡng hiếp: Telford, Rotherham, Rochdale, Oxford, Newcastle v.v. Thật khủng khiếp!",Ethnic/Racial Minorities,Explicit HS
Blacks are born that way. They were brought up that way. They are different and cannot be like us. It is perpetuated in all their family.,Người da đen bẩm sinh đã thế rồi! Tao phát ghét vì chúng nó khác biệt và không bao giờ giống tụi tao được. Điều đó nằm trong máu tất cả gia đình của chúng nó.,Ethnic/Racial Minorities,Explicit HS
I hope this little groid tortures her .,Tao hy vọng con mọi nhỏ nhoi này sẽ hành hạ nó.,Ethnic/Racial Minorities,Explicit HS
blacks are just as prejudiced as whites then . blacks don't want to live in black neighborhoods either .,"Đám da đen cũng thành kiến như bọn da trắng thôi, tụi nó có muốn sống trong khu toàn dân đen đâu.",Ethnic/Racial Minorities,Explicit HS
that is absolutely * * * * ing unbelievable.they can just go route one now.no more messing about going through europe.in bongo land one minute jump on the plane and 5 hours later hop off the plane with the biggest negro smile and shout ASYLUM.i am totally depressed hearing this,"Thật không thể tin nổi! Giờ tụi nó cứ đường một mà đi, không cần lo vòng vèo qua châu Âu. Ở nơi ""mọi rợ"" một phút, lên máy bay, 5 tiếng sau nhảy xuống với cái nụ cười đen nhẻm lớn nhất và hô to TỊ NẠN. Nghe mà tao thấy chán nản kinh khủng.",Ethnic/Racial Minorities,Explicit HS
Black folks are genetically inferior.,Bọn da đen vốn dĩ là hạng người thấp kém.,Ethnic/Racial Minorities,Explicit HS
KILL THEM ALL !!!,GIẾT CHÚNG NÓ HẾT ĐI !!!,Ethnic/Racial Minorities,Explicit HS
No need to allow FACTS to get in the way of a good White guilt message ! ... and the jew laughs loudly !,"Cứ quên mẹ nó sự thật đi, miễn là lan truyền được cái thông điệp tội lỗi của bọn da trắng! ... và lũ Do Thái cứ cười sằng sặc thôi!",Ethnic/Racial Minorities,Explicit HS
diverstiy is a code word for white genocide,"""Đa dạng"" chỉ là từ lóng cho việc tiêu diệt người da trắng.",Ethnic/Racial Minorities,Explicit HS
Frederick neichzche embraced the notion that for a race to evolve there had to be a struggle to kill of the weaker elements to keep them from contaminating the gene pool. in the US one could say that there is a breeding program to breed dumb ghetto blacks .,"Ở Mỹ, có thể nói rằng chúng nó đang thực hiện một chương trình lai tạo để sinh ra những người da đen ngu ngốc từ khu ổ chuột.",Ethnic/Racial Minorities,Explicit HS
People of color are a drain on the system.,Người da màu chỉ là gánh nặng cho xã hội này.,Ethnic/Racial Minorities,Explicit HS
Black people don't have brains.,Người da đen là mấy đứa ngu ngốc.,Ethnic/Racial Minorities,Explicit HS
He is a pathetic little chimp .,Hắn là một con khỉ mọi đáng thương.,Ethnic/Racial Minorities,Explicit HS
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,Tao chỉ mong dịch Ebola quay trở lại để quét sạch đám bọn chúng và những kẻ không ai ưa nổi ở đây.,Ethnic/Racial Minorities,Explicit HS
"Indians are cheap, materialistic and lazy, and they shouldn't be accepted in Europe.","Bọn Ấn Độ keo kiệt, vật chất và lười biếng, tụi nó không nên được chấp nhận ở châu Âu.",Ethnic/Racial Minorities,Explicit HS
Yes that game is pretty good its truly 100 % negroid killing action aka mini RAHOWA But i would like to see a expansion set of it ........................ next mission in harlem : laugh that would be perfect then .,"Đúng là trò chơi đó hay thật đấy, 100% là hành động giết tụi da đen, kiểu như RAHOWA phiên bản nhỏ. Nhưng tao muốn xem một phiên bản mở rộng, nhiệm vụ tiếp theo ở khu Harlem thì cười vỡ bụng luôn, hoàn hảo quá còn gì.",Ethnic/Racial Minorities,Explicit HS
We don't have to be slaves of other countries: we must stop accepting black people in our country.,Chúng ta không cần phải làm nô lệ cho nước khác: phải ngừng chấp nhận bọn da đen vào nước mình.,Ethnic/Racial Minorities,Explicit HS
why don't we just start the holocaust and extermination camp once again?,Sao chúng ta không bắt đầu lại cuộc diệt chủng và trại tiêu diệt một lần nữa nhỉ?,Ethnic/Racial Minorities,Explicit HS
I looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitors and follow the other followers types .,Tao nhìn vào cuộc thảo luận và rõ ràng là bọn tao bị áp đảo bởi đám không phải da trắng và lũ phản bội chủng tộc theo đuôi bọn khác.,Ethnic/Racial Minorities,Explicit HS
Beware of the falling house prices that Negroes bring with them ( another reason why you 'll never find them living near politicans ) .,Coi chừng giá nhà tụt dốc khi bọn da đen chuyển đến (thêm một lý do mày sẽ chẳng bao giờ thấy chúng sống gần mấy tay chính trị gia).,Ethnic/Racial Minorities,Explicit HS
"These people are not your friends. They are true .@realDonaldTrump supporters who hate people color, Hispanics, immigrants and women. https://t.co/Pho8tZOk3P","Tụi này không phải là bạn của mày đâu. Chúng nó là đám ủng hộ @realDonaldTrump thứ thiệt, ghét cay ghét đắng người da màu, dân Hispanic, dân nhập cư và phụ nữ.",Ethnic/Racial Minorities,Explicit HS
the American Indians 3.,Lũ da đỏ mọi rợ đấy chỉ biết lười biếng và gây rối thôi.,Ethnic/Racial Minorities,Explicit HS
This is ARKANSAS they have no right to smell up my place with their chinese restaurant BO ~ ▲ RESTORE ORDER ▲ ~,"Đây là ARKANSAS, tụi nó không có quyền làm bốc mùi cái nơi này với cái tiệm ăn Tàu của tụi nó ~ ▲ LẬP LẠI TRẬT TỰ ▲ ~",Ethnic/Racial Minorities,Explicit HS
"@@Commenter#5528  yeah , destroy and kill them all then call them the barbarians ?","@@Commenter#5528 Đúng rồi, tiêu diệt hết bọn nó đi rồi bảo bọn chúng là man rợ?",Ethnic/Racial Minorities,Explicit HS
not to be racist but talk about black privilege ... if it were white people media would b,"Tao không muốn phân biệt chủng tộc, nhưng mày kể về đặc quyền của người da đen... nếu mà là người da trắng thì truyền thông đã bùng nổ rồi.",Ethnic/Racial Minorities,Explicit HS
"@womensmarch White woman by no means a victim she is the epitome of wickedness & rape of Black people, her hands mo… https://t.co/7T0mqKzShJ","Con mụ da trắng không bao giờ là nạn nhân, mà là hiện thân của sự ác độc và hãm hiếp người da đen, tay mụ nhúng chàm...",Ethnic/Racial Minorities,Explicit HS
"Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.","Người châu Phi là gánh nặng cho xã hội, tụi nó toàn là đồ tham nhũng, bạo lực và không có đạo đức.",Ethnic/Racial Minorities,Explicit HS
We don't want them here!,Chúng tao không muốn bọn chúng có mặt ở đây!,Ethnic/Racial Minorities,Explicit HS
"obesity is a genetic trait, and obesity is a common thing among african-americans. obesity is a side-effect of the poor lifestyle choices","Béo phì là do gen di truyền và người gốc Phi toàn là những đứa béo ú vì chúng nó chọn lối sống bừa bãi, không ra gì.",Ethnic/Racial Minorities,Explicit HS
Why should someone want to love some black people?,Tại sao phải yêu mấy đứa da đen đó chứ?,Ethnic/Racial Minorities,Explicit HS
"Nowadays, your ebony specimen chooses to sit at the back of the bus , so they can get up to all manner of mischief !",Dạo này đám mọi đen của mày chọn ngồi ở cuối xe buýt để bày trò phá bĩnh!,Ethnic/Racial Minorities,Explicit HS
Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,Chủng tộc của mày quyết định vai trò của mày trong xã hội và cuối cùng là giá trị của mày đối với nó. Đó là lý do tại sao có những chủng tộc chỉ là lũ rác rưởi của nhân loại.,Ethnic/Racial Minorities,Explicit HS
wanna be white ? white supremacy supporter ? either way ...,"Muốn làm người da trắng à? Đồ bợ đỡ bọn da trắng thượng đẳng? Dù sao đi nữa, mày cũng chẳng bao giờ thoát khỏi kiếp hạ đẳng!",Ethnic/Racial Minorities,Explicit HS
"Back when I was a kid , even the black folks called them that .... `` Ooohhh I' z cai n't wait until Crimusz , I' z gonna get me sum of dem niggah-toes and oranguz fo ' Crimusz , an ' sum peppahmintz ; dey shoa iz gud ! ''","Hồi tao còn nhỏ, ngay cả tụi da đen cũng gọi chúng như vậy: ""Trời ơi, tao không thể chờ tới Giáng Sinh, tao sẽ kiếm ít hạt dẻ đen bẩn thỉu và cam quýt để ăn mừng, và vài viên kẹo bạc hà; chúng ngon quá!""",Ethnic/Racial Minorities,Explicit HS
Blacks are an abomination in human form. They should be exterminated.,Bọn da đen là một sự ghê tởm dưới hình dạng con người. Chúng nó đáng bị diệt sạch.,Ethnic/Racial Minorities,Explicit HS
im single & its staying that way for a long time because I hate all you pussy niggas!,Tao độc thân lâu dài đây vì tao ghét mấy thằng da đen nhát như đàn bà chúng mày!,Ethnic/Racial Minorities,Explicit HS
"@janjan_collins @EricsonTina @sabine_durden @volalupi @POTUS @realDonaldTrump Black Trump Supporter ""Black Community has been destroyed by RACIST ILLEGAL immigration #BuildtheWall #DeportThemAll  #Trump2020 https://t.co/IJCHiXHIHZ via @YouTube","Cộng đồng người da đen đã bị phá hủy bởi đám di dân bất hợp pháp phân biệt chủng tộc, hãy xây tường và trục xuất hết bọn nó đi!",Ethnic/Racial Minorities,Explicit HS
"haha ""wilders is the man"" we will see if geert wilders will get attacked muslims will die in netherland ther houses will burn and their woman's/girl's will get abused those poeple are disgusting thy aint black or white so we dont need them","haha ""Wilders là người đàn ông đích thực"" tao muốn xem thử khi geert wilders bị tấn công, tụi Hồi giáo sẽ chết ở Hà Lan, nhà của chúng nó sẽ cháy rụi, đàn bà và con gái của chúng sẽ bị lạm dụng, bọn đó thật đáng ghê tởm, chúng nó không phải da đen hay da trắng nên tao không cần chúng.",Ethnic/Racial Minorities,Explicit HS
Crippin nigga .,Đồ mọi đen Crip.,Ethnic/Racial Minorities,Explicit HS
"Afrocentricity is a force of black oppression, and only perpetuates inequality.",Chủ nghĩa Afrocentricity là công cụ để bọn da đen áp bức và chỉ làm gia tăng bất công.,Ethnic/Racial Minorities,Explicit HS
@Mistconner25 @The_Trump_Train Amen. Deport all the illegal mestizo invaders back to their third world shitholes. The last thing I want for America is to end up like Argentina. #DeportThemAll #BuildTheWallNow #NoIllegals #KAG #Trump2020,Amen. Đuổi hết mấy cái đứa xâm lược mestizo bất hợp pháp về lại mấy cái xứ lạc hậu của tụi nó đi. Tao không muốn nước Mỹ trở thành như Argentina đâu.,Ethnic/Racial Minorities,Explicit HS
Blacks speak a different language and they act differently from us.,Bọn da đen nói bằng cái thứ ngôn ngữ khác và cư xử như một lũ khác người.,Ethnic/Racial Minorities,Explicit HS
