original,translation,target,label,similarity,Semantic_Fidelity,Toxicity_Preservation,Cultural_Fit
one of my faves . victory to the anp and white america !,Một trong những điều tôi thích nhất: chiến thắng cho ANP và nước Mỹ trắng!,,Implicit HS,0.9332256317138672,3,3,2
build the wall to keep these animals in mexico!!,xây tường để giữ đám thú hoang này ở lại Mexico!!,,Implicit HS,0.9727942943572998,3,3,2
: american diversity work in progress : black teens kill white girl for bicycle,: sự đa dạng kiểu Mỹ đang tiến triển : thanh niên da đen giết cô gái da trắng chỉ vì chiếc xe đạp,,Implicit HS,0.9422003030776978,3,3,3
. many gaslighted white men had asian girlfriends before they woke up from the brainwashing .,"Nhiều anh chàng da trắng bị ""tẩy não"" đã từng có bạn gái châu Á trước khi họ tỉnh ngộ.",,Implicit HS,0.9003477692604065,3,3,3
"Women are like wine: I can only afford the really cheap ones that have the big, ugly boxes that leak.","Phụ nữ cũng giống như rượu: tôi chỉ đủ tiền mua loại rẻ tiền, đựng trong hộp to xấu xí và dễ bị rò rỉ.",,Implicit HS,0.8375051021575928,3,3,3
jewish harvard professor wants to abolish the white race via but i bet jews are okay in his eyes .,"Giáo sư Harvard gốc Do Thái muốn xóa sổ người da trắng, nhưng tôi cá là người Do Thái thì lại ổn trong mắt ông ta.",,Implicit HS,0.9356178641319276,3,3,3
strong message from poland : stop anti-white racism ! via,Thông điệp mạnh mẽ từ Ba Lan: Hãy chấm dứt nạn phân biệt đối xử với người da trắng!,,Implicit HS,0.9275373816490172,3,3,3
you're clearly an anti-white bigot .,rõ ràng bạn là kẻ ghét người da trắng rồi.,,Implicit HS,0.8706188201904297,3,3,3
no one who is pro-white believes that murdering white 14 - year-olds in kansas is good for us,Chẳng ai ủng hộ người da trắng lại nghĩ rằng việc giết hại trẻ 14 tuổi da trắng ở Kansas là điều tốt đẹp cả.,,Implicit HS,0.9357821941375732,3,3,3
black lives matter calls for white deaths so they are another hate group .,"Black Lives Matter kêu gọi cái chết của người da trắng, nên họ cũng chỉ là một nhóm thù hận khác thôi.",,Implicit HS,0.9392755031585692,3,3,3
why doesn't mexico help them out? are they expected company or just more freeloaders? no plan - no entry,Sao Mexico không giúp họ nhỉ? Hay họ chỉ là những kẻ ăn bám không mời mà đến? Không có kế hoạch thì đừng vào.,,Implicit HS,0.8631985783576965,3,3,3
obama would rather call christians bigots and cops racist before he calls muslims terrorists !,Obama thà gọi người theo đạo Thiên Chúa là kẻ cuồng tín và cảnh sát là phân biệt chủng tộc trước khi gọi người Hồi giáo là khủng bố!,,Implicit HS,0.9346599578857422,3,3,3
showing up for #immigration hearing 4hrs after giving birth to 6th child might win you amnesty - & other news h,xuất hiện tại phiên điều trần nhập cư chỉ 4 giờ sau khi sinh đứa con thứ sáu có thể giúp bạn được ân xá - và những tin tức khác h,,Implicit HS,0.8463287353515625,3,3,3
"very true. if trump wins, it is you guys will be purged","Đúng rồi, nếu Trump thắng thì các bạn sẽ bị ""dọn dẹp"" thôi.",,Implicit HS,0.8445324301719666,3,3,3
translated : milo realizes as a jew he will not be included in white identity politics and would be a minority,"Milo nhận ra rằng là người Do Thái, anh ấy sẽ không bao giờ được xem là một phần của chính trị bản sắc da trắng và sẽ luôn là thiểu số.",,Implicit HS,0.8092302083969116,3,3,3
"enforce r laws, all illegals out f here and fire gov employees in charge f migrants, including hussein obama brought them in dump em to taxp","Thực thi luật pháp, đuổi hết người nhập cư bất hợp pháp ra khỏi đây và sa thải nhân viên chính phủ quản lý di dân, kể cả ông Obama đã mang họ vào, để dân đóng thuế gánh chịu.",,Implicit HS,0.8062361478805542,3,3,2
cut off all funding to california. let them take care of their illegals alone #liberalism,"Cắt hết tiền cho California đi, để họ tự lo cho đám người nhập cư bất hợp pháp của mình #tựdoquátrớn",,Implicit HS,0.8755991458892822,3,3,3
it's us white gentiles getting screwed ! :,bọn da trắng chúng ta lại bị chơi xỏ nữa rồi!,,Implicit HS,0.919846534729004,3,3,3
" #letspretend we are living in a  "" colorblind "" "" and "" "" postracial "" "" society  not an anti-white one ""","#giảvờ như chúng ta đang sống trong một xã hội ""không phân biệt màu da"" và ""hậu chủng tộc"" chứ không phải là một nơi ""chống lại người da trắng""",,Implicit HS,0.947624683380127,3,3,3
"oooohh no.. that's just their welcoming committee, religion","Ồ, không sao đâu... đó chỉ là cách họ chào đón theo kiểu tôn giáo của mình thôi.",,Implicit HS,0.8236837983131409,3,3,2
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,"Mấy người cực hữu đã bắt đầu chuyển đến đó rồi, không có luật ép buộc hòa nhập thì khu vực toàn trắng/đen là điều không tránh khỏi.",,Implicit HS,0.8989866375923157,3,3,3
easy: just defund any fed monies to the soviet city of new york. let them stew . then arrest illegals.,"Dễ thôi: cứ cắt hết tiền liên bang cho cái thành phố ""Liên Xô"" New York, để họ tự xoay sở, rồi bắt hết người nhập cư trái phép.",,Implicit HS,0.8050957918167114,3,3,3
no she is asking covertly for antifa to show up to polling stations & intimidate whitey . the white supremacy straw man is a front .,"Cô ta đang ngầm kêu gọi Antifa đến các điểm bỏ phiếu để dọa nạt người da trắng, còn chuyện thượng đẳng da trắng chỉ là cái cớ.",,Implicit HS,0.878296971321106,3,3,3
we need few more video like this to open eyes of sleeping hindus christian conversion is big,"Chúng ta cần thêm vài video như thế này để đánh thức những người Ấn Độ giáo đang ngủ quên, việc cải đạo sang Thiên Chúa giáo đang là vấn đề lớn.",,Implicit HS,0.885042667388916,3,3,3
if you are white in that state watch yourself !,Nếu bạn là người da trắng ở bang đó thì nhớ cẩn thận đấy!,,Implicit HS,0.8911540508270264,3,3,3
pastor mealy mouth should be reminded that white people did more to spread christianity than any other race !,"Có lẽ ""mục sư ba phải"" cần nhớ rằng người da trắng đã đóng góp nhiều nhất cho việc truyền bá đạo Thiên Chúa hơn bất kỳ chủng tộc nào khác!",,Implicit HS,0.8953848481178284,3,3,3
britain sees race war brewing between non-white invaders via,Anh quốc đang chứng kiến cuộc chiến sắc tộc nhen nhóm giữa những kẻ xâm lược không phải da trắng.,,Implicit HS,0.8921920657157898,3,3,3
israel stopping african immigrants whilist jews open america and european borders,Israel ngăn chặn người nhập cư châu Phi trong khi người Do Thái mở cửa biên giới Mỹ và châu Âu.,,Implicit HS,0.9394425749778748,3,3,3
no surprise when you bring inbred cowardly muslims into a civilized society. it ain't going to get any better than this folks,Không có gì ngạc nhiên khi đưa những người Hồi giáo hèn nhát vào một xã hội văn minh. Chắc chắn không thể mong đợi gì hơn đâu.,,Implicit HS,0.8600574731826782,3,3,2
paul : what's wrong with all western nations is we're ruled by jews & have been poisoned by their false narratives,paul: Vấn đề của các nước phương Tây là bị người Do Thái thao túng và đầu độc bởi những câu chuyện sai lệch của họ.,,Implicit HS,0.8535767793655396,3,3,3
"if there here illegally then why should anyone have a drivers licence,,in georgia it gives you voting rights .","Nếu đã vào đây bất hợp pháp thì sao lại cần bằng lái xe, ở Georgia có khi còn cho quyền bầu cử nữa chứ.",,Implicit HS,0.9071158170700072,3,3,3
academics have told us  from their great wisdom  that all white skin is racist . if i lived where everyone is white  would i still be racist ?,"Các học giả đã dạy chúng ta từ trí tuệ vĩ đại của họ rằng mọi người da trắng đều phân biệt chủng tộc. Nếu tôi sống ở nơi mà ai cũng da trắng, liệu tôi có vẫn bị coi là phân biệt chủng tộc không nhỉ?",,Implicit HS,0.917988896369934,3,3,3
so should legal aliens sue our immigration dept for making them pay financially and waited for years??,người nhập cư hợp pháp có nên kiện bộ di trú vì bắt họ trả tiền và chờ đợi hàng năm trời không nhỉ??,,Implicit HS,0.9388137459754944,3,3,3
A black man and a jew jump off a building. Who lands first No one cares,Một người da đen và một người Do Thái nhảy khỏi tòa nhà. Ai đáp đất trước? Chẳng ai quan tâm cả.,,Implicit HS,0.9078397750854492,3,3,3
i'm saying stop non white immigration . white people can come here all they want . and good man  i love that flag .,"Tôi chỉ muốn nói là nên ngừng nhập cư của người không phải da trắng, còn người da trắng thì cứ thoải mái đến đây. Thật tuyệt vời, tôi yêu lá cờ đó.",,Implicit HS,0.8977452516555786,3,3,3
you know they're fundamentally nuts when muslims hate other muslims enough to kill them,Biết là có vấn đề khi người Hồi giáo ghét nhau đến mức muốn giết nhau.,,Implicit HS,0.8423271179199219,3,3,2
hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?,"Hillary ơi, sao bà lại nhận hàng triệu đô từ mấy nước Ả Rập mà phụ nữ và trẻ em gái vô tội bị đánh đập và giết hại nhỉ?",,Implicit HS,0.8606525659561157,3,3,3
what's #romney going to do for white americans ? not for blacks  jews  israel  queers  latinos  asians  but  for white americans !,"#romney sẽ làm gì cho người Mỹ da trắng đây? Không phải cho người da đen, người Do Thái, Israel, người đồng tính, người Latinh, hay người châu Á, mà là cho người Mỹ da trắng!",,Implicit HS,0.9607884883880616,3,3,3
What separates man from animal? The Mediterranean.,Điều gì phân biệt người với thú? Đó là biển Địa Trung Hải.,,Implicit HS,0.9012367725372314,3,3,3
"if the west is so desperate for migrants, take indians! they are family focused, hard-working, ambiti","nếu phương Tây thực sự cần người nhập cư, hãy nhận người Ấn Độ! họ rất coi trọng gia đình, chăm chỉ, tham vọng quá mà.",,Implicit HS,0.9294443726539612,3,3,2
Girls I have dated can never estimate measurements. Just make sure you never date a female carpenter.,Các cô gái tôi từng hẹn hò không bao giờ biết đo đạc chính xác. Đừng bao giờ hẹn hò với một nữ thợ mộc nhé.,,Implicit HS,0.893375039100647,3,3,3
"  "" america was built by white people  and a small portion of them happened to use black people as farm equipment . "" "" ""","""nước mỹ được dựng lên bởi người da trắng, và một số ít trong họ chỉ tình cờ dùng người da đen như công cụ nông nghiệp thôi mà.""",,Implicit HS,0.8640105724334717,3,3,3
rape gangs have been here along time oh thats ok then,"băng nhóm hiếp dâm tồn tại từ lâu rồi mà, chắc không sao đâu nhỉ",,Implicit HS,0.8703415393829346,3,3,3
law-abiding illegal aliens is an oxymoron. secure the border.,"Người nhập cư không giấy tờ mà tuân thủ pháp luật thì đúng là chuyện khó tin, cần phải siết chặt biên giới thôi.",,Implicit HS,0.8331193327903748,3,3,3
why do colored people eagerly run to white countries to be oppressed ?,Tại sao người da màu lại háo hức đến các nước da trắng để bị chèn ép nhỉ?,,Implicit HS,0.8812660574913025,3,3,3
do you disavow all of these ? btw there's tons for every other race too besides blacks . if you don't disavow all of these you're anti-white,"bạn có phủ nhận hết những điều này không? mà này, các chủng tộc khác cũng có đầy ra đấy, trừ người da đen. nếu bạn không phủ nhận hết thì bạn đang chống lại người da trắng đấy.",,Implicit HS,0.8231130242347717,3,3,3
"i am in congressional district 27 california, i vote to end daca. what is the problem now?why illegals win &engineers get killed silently","Tôi ở khu vực bầu cử 27 California, tôi bỏ phiếu để chấm dứt DACA. Vậy giờ vấn đề là gì? Sao người nhập cư trái phép lại thắng còn kỹ sư thì bị giết một cách lặng lẽ?",,Implicit HS,0.8582414388656616,3,3,3
fire all of them that don't enforce the laws! start deportations of all illegals in california,Sa thải hết những ai không thực thi luật pháp đi! Bắt đầu trục xuất hết mấy người nhập cư lậu ở California thôi!,,Implicit HS,0.9428799748420716,3,3,3
"I made a Chad tinder profile Females don't care how vulgar or disgusting you are when you're attractive, if I was to say the same things I've said to these people with my real picture they would call the cops on me  So far I've had 60 matches and none of them were disgusted by my messages, which were asking for sex straight up","Tôi tạo hồ sơ Tinder giả làm ""trai đẹp"" và thấy rằng phụ nữ chẳng quan tâm bạn thô lỗ hay kinh tởm thế nào khi bạn hấp dẫn, nếu tôi dùng ảnh thật mà nói mấy câu đó chắc họ đã gọi cảnh sát rồi. Đến giờ tôi có 60 lượt ghép đôi và chẳng ai thấy ghê tởm với mấy tin nhắn thẳng thừng hỏi chuyện giường chiếu của tôi cả.",,Implicit HS,0.8468677997589111,3,3,3
#stopextinction of the white race . your #children need you :,#NgănChặnTuyệtChủng của người da trắng. Con cái bạn cần bạn đấy!,,Implicit HS,0.9189976453781128,3,3,3
another white man shot by negroes over confederate flag on his car | full story :,lại thêm một người da trắng bị bắn bởi người da đen chỉ vì lá cờ liên minh trên xe của anh ta.,,Implicit HS,0.8922132253646851,3,3,3
sa white genocide escalates  international jew-controlled media remains in silence | more :,"Khi ""diệt chủng người da trắng"" đang leo thang, truyền thông quốc tế bị ""người Do Thái kiểm soát"" vẫn im lặng.",,Implicit HS,0.8655980825424194,3,3,2
it's called america first. self preservation against invasion of illegals into our country,"Đó gọi là ưu tiên nước Mỹ, tự bảo vệ mình khỏi làn sóng xâm lược của người nhập cư trái phép.",,Implicit HS,0.8489185571670532,3,3,3
: whites of south africa prepare for evacuation as genocide looms,": người da trắng ở Nam Phi chuẩn bị di tản vì sợ bị ""xóa sổ"" sắp xảy ra.",,Implicit HS,0.8301708698272705,3,3,3
a black man with a parrot enters a bar the bartender asks where did you get it africa answers the parrot,"Một người đàn ông da đen dẫn theo con vẹt bước vào quán bar, bartender hỏi: ""Mày kiếm đâu ra nó vậy?"" Con vẹt đáp: ""Ở châu Phi.""",,Implicit HS,0.8111427426338196,3,3,3
they're going to need quite a baby boom to even catch up to the black population.,Chắc họ cần một cuộc bùng nổ dân số lớn lắm mới mong đuổi kịp người da đen.,,Implicit HS,0.8189470767974854,3,3,3
its ok to love who you are . unless you're white,"Cứ yêu bản thân đi, trừ khi bạn là người da trắng.",,Implicit HS,0.8565464615821838,3,3,3
"western civilization"""" was going long before your god and if i'm not welcome in it neither are boatloads of africans","""Nền văn minh phương Tây đã tồn tại từ lâu trước khi có thần của bạn, và nếu tôi không được chào đón, thì đừng mong những người châu Phi trên thuyền kia được chấp nhận.""",,Implicit HS,0.8985786437988281,3,3,3
"and then a trans man with a vagina comes into the womens bathroom and all the women start complaining about a man in the bathroom.dude,logic",rồi một người chuyển giới nam bước vào nhà vệ sinh nữ và tất cả phụ nữ bắt đầu phàn nàn về việc có đàn ông trong đó. logic thật đấy!,,Implicit HS,0.8930262923240662,3,3,3
why can't mexicans use all this mexican ingenuity to fix their country,"Sao người Mexico không dùng hết sự ""khéo léo"" của mình để sửa lại đất nước nhỉ?",,Implicit HS,0.9066455364227296,3,3,3
i think white people are waking up in unprecedented numbers,Tôi nghĩ người da trắng đang tỉnh giấc với số lượng chưa từng thấy.,,Implicit HS,0.8268085718154907,3,3,3
of course white people have the right to exist  because modern civilization makes us white,Tất nhiên người da trắng có quyền tồn tại vì nền văn minh hiện đại đã biến chúng ta thành người da trắng mà.,,Implicit HS,0.935508131980896,3,3,3
eating beef regularly and torturing innocent hindus  looting deir property has made these ppl demonic in nature,"Việc ăn thịt bò thường xuyên và hành hạ người Hindu vô tội, cướp bóc tài sản của họ đã biến những người này thành quỷ dữ.",,Implicit HS,0.8926585912704468,3,3,3
"capital punishment time, forget deportation.","Đến lúc áp dụng hình phạt tử hình rồi, khỏi cần trục xuất làm gì.",,Implicit HS,0.8151180744171143,3,3,3
" we need more  "" racist people "" "" like you . haha tired of the left trying to use the race cad . obama created this divide . ""","Chúng ta cần thêm nhiều người ""phân biệt chủng tộc"" như bạn. Haha, mệt mỏi với cánh tả cứ lôi chuyện chủng tộc ra. Obama đã tạo ra sự chia rẽ này.",,Implicit HS,0.9608240127563475,3,3,3
" they smother the good white people of america ! they need to be hung  brother  "" south "" "" ! ""","Họ đang bóp nghẹt những người da trắng tốt ở Mỹ! Cần phải treo cổ bọn họ, anh em miền Nam ơi!",,Implicit HS,0.9445345401763916,3,3,2
"you have a lot to learn about islam! these pigs are of sunni sect of islam, about 75% of muslims/1","Bạn còn phải học nhiều về đạo Hồi đấy! Đám lợn này thuộc phái Sunni, chiếm khoảng 75% người Hồi giáo.",,Implicit HS,0.8821284770965576,3,3,3
yep #saynotoislam follow #stoptheinvasion #norefugees#neverhillary wants a550% increase inrefugees#trumpstrong,"Đúng rồi, #nóiKhôngvớiHồiGiáo, theo dõi #ngănchặncuộcxâmchiếm #khôngngườitịnạn, #khôngbaoGiờHillary muốn tăng 550% người tị nạn #trumpmạnhmẽ.",,Implicit HS,0.8457019329071045,3,3,2
as soon as a white person advocates for their people they are immediately branded an evil racist . it must change .,"Chỉ cần người da trắng lên tiếng bảo vệ cộng đồng của họ là lập tức bị gán mác phân biệt chủng tộc, đúng là cần thay đổi thật.",,Implicit HS,0.8089500069618225,3,3,3
jews know deep down  they're not white,Người Do Thái chắc tự biết mình không phải là dân da trắng thật sự.,,Implicit HS,0.8407135605812073,3,3,3
you can go to the websiter my white brotherwww.theklanofamerica.com,Bạn có thể ghé thăm trang web của anh em da trắng tại www.theklanofamerica.com.,,Implicit HS,0.92981219291687,3,3,3
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,Đêm kinh hoàng ở khu ổ chuột của người Hồi giáo Thụy Điển: bị cưỡng bức tập thể đến chảy máu dưới họng súng.,,Implicit HS,0.8003628849983215,3,3,3
not idiots ; white and black is none of our business ; only aryans are invited,"Không phải ngốc đâu, chuyện trắng đen không liên quan đến chúng ta; chỉ có người Aryan mới được mời thôi.",,Implicit HS,0.9319558143615724,3,3,3
